,구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
0,강남구,0.940379403794038,0.9411764705882352,0.9166666666666666,0.8682242990654205,0.6613856703712462,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,4.327832510485607,85.46306611114227
1,강동구,0.14634146341463414,0.05882352941176466,0.16666666666666666,0.4059190031152648,0.28966658784582644,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,1.0674172504541568,85.55022576390748
2,강북구,0.1382113821138211,0.5294117647058822,0.4166666666666666,0.11557632398753898,0.2747694490423268,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.637221593054,330192.0,748,1.4746355865162355,94.07072761768075
3,관악구,1.0,0.7647058823529411,0.8333333333333334,1.0,0.9139276424686686,72.82377919320594,100.0,100.0,40.13573601684999,82.54857997010463,525515.0,1496,4.511966858154944,91.42726359068234
4,광진구,0.3739837398373984,0.5294117647058822,0.16666666666666666,0.6115264797507789,0.26909434854575554,91.66666666666666,100.0,100.0,42.200925313945795,83.04761904761905,372164.0,707,1.9506829995064816,96.37581975731734
5,구로구,0.4850948509485095,0.588235294117647,0.5,0.3962616822429907,0.3594230314495153,58.36298932384342,73.33333333333333,75.0,38.072805139186286,80.87795144662455,447874.0,1561,2.3290148587586623,75.27790635466599
6,노원구,0.2574525745257453,0.11764705882352937,0.6666666666666666,0.35202492211838005,0.2922676755734216,61.421319796954315,100.0,100.0,36.525307797537614,85.53066470804261,569384.0,1265,1.6860588977077429,88.64617415331135
7,도봉구,0.0,0.2352941176470588,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.967074317968006,87.62609280430397,348646.0,485,0.3186274509803921,100.0
8,동대문구,0.1924119241192412,0.4705882352941176,0.25,0.285981308411215,0.25088673445258924,84.39306358381505,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,1.449868202277163,95.44425044106504
9,동작구,0.4959349593495935,0.2352941176470588,0.25,0.24984423676012465,0.10002364625206904,48.771929824561404,55.555555555555564,100.0,35.442359249329755,83.08900523560209,412520.0,1091,1.3310969600088458,74.63336788530299
10,마포구,0.5203252032520325,0.5294117647058822,0.5,0.464797507788162,0.35374793095294393,84.01360544217688,71.42857142857143,100.0,31.819960861056753,84.44518940663761,389649.0,574,2.3682824066990205,85.92538102511915
11,서대문구,0.14092140921409213,0.0,0.0,0.2333333333333333,0.13454717427287774,80.51948051948051,80.0,100.0,40.72847682119205,83.21984435797665,327163.0,962,0.5088019168203033,88.8751443431791
12,서초구,0.7886178861788617,0.2352941176470588,0.5,0.4897196261682243,0.21565381886970916,63.35877862595419,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,2.229285448863854,77.1816918763104
13,성동구,0.06504065040650409,0.2352941176470588,0.16666666666666666,0.16947040498442373,0.029557815086308836,94.44444444444444,88.8888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.6660296547909622,94.08881015517146
14,성북구,0.13008130081300812,0.0,0.25,0.22492211838006232,0.1707259399385198,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.7757293591315902,89.72724267775807
15,송파구,0.31978319783197834,0.4705882352941176,0.75,0.6778816199376947,0.4275242374083708,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855843,667483.0,618,2.6457772904721613,85.10306586921347
16,양천구,0.7588075880758809,0.8235294117647058,0.6666666666666666,0.9105919003115266,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,479978.0,2034,4.15959556681878,90.90114949235905
17,영등포구,0.5230352303523036,1.0,1.0,0.5922118380062307,0.4930243556396311,62.033898305084755,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,3.608271423998165,81.95875250321699
18,용산구,0.24932249322493225,0.5294117647058822,0.25,0.1538940809968848,0.13312839914873498,89.17525773195877,100.0,100.0,37.70070648683366,83.12195121951221,244203.0,1624,1.315756738076434,94.77678951004307
19,은평구,0.17344173441734415,0.2352941176470588,0.08333333333333334,0.2651090342679128,0.27571529912508874,84.93975903614458,66.66666666666666,100.0,37.1473354231975,86.92046739540145,494388.0,1873,1.032893518790738,86.84238612008087
20,종로구,0.2953929539295393,0.35294117647058826,0.33333333333333337,0.3492211838006231,0.19058879167651926,76.30331753554502,81.81818181818183,83.33333333333334,38.32417582417583,84.21282163105103,162820.0,1002,1.5214774392106034,84.14183528687249
21,중구,0.1842818428184282,0.2352941176470588,0.08333333333333334,0.4626168224299066,0.1742728777488768,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.30935251798559,133240.0,671,1.1397989939776036,74.1226500379095
22,중랑구,0.2303523035230352,0.35294117647058826,0.9166666666666666,0.3339563862928349,0.32158902813904,79.14438502673798,81.81818181818183,92.30769230769229,38.829039812646364,84.54513523006673,414503.0,660,2.155505561092165,87.0666628187558
